Data Source in SDW: http://sdw.ecb.europa.eu/quickview.do;jsessionid=397A29BB2F1436B9AB6FAEE7A6C2F6BB?SERIES_KEY=120.EXR.D.E5.EUR.EN00.A&start=03-10-2014&end=10-10-2019&submitOptions.x=0&submitOptions.y=0&trans=N
,EXR.D.E5.EUR.EN00.A
,"ECB Nominal effective exch. rate of the Euro against, EER-19 group of trading partners: AU,CA,DK,HK,JP,NO,SG,KR,SE,CH,GB,US and BG,CZ,HU,PL,RO,CN and HR excluding the Euro"
Collection:,Average of observations through period (A)
Period\Unit:,[99Q1=100]
2018-02-06,99.5092
2018-02-05,99.9294
2018-02-02,99.9975
2018-02-01,99.7988
2018-01-31,99.7374
2018-01-30,99.7174
2018-01-29,99.5353
2018-01-26,99.7475
2018-01-25,99.5980
2018-01-24,99.6297
2018-01-23,99.5880
2018-01-22,99.5453
2018-01-19,99.6270
2018-01-18,99.5777
2018-01-17,99.5712
2018-01-16,99.7553
2018-01-15,99.9706
2018-01-12,99.4625
2018-01-11,99.1231
2018-01-10,98.9438
2018-01-09,98.7468
2018-01-08,98.8148
2018-01-05,99.2112
2018-01-04,99.3188
2018-01-03,99.0856
2018-01-02,99.2598
2018-01-01,-
2017-12-29,99.0507
2017-12-28,98.9622
2017-12-27,98.9719
2017-12-26,-
2017-12-25,-
2017-12-22,98.8913
2017-12-21,99.0408
2017-12-20,98.8356
2017-12-19,98.8012
2017-12-18,98.7165
2017-12-15,98.7351
2017-12-14,98.9487
2017-12-13,98.4589
2017-12-12,98.6096
2017-12-11,98.8151
2017-12-08,98.4723
2017-12-07,98.7293
2017-12-06,98.8170
2017-12-05,98.9174
2017-12-04,98.9345
2017-12-01,99.0827
2017-11-30,98.8766
2017-11-29,98.6815
2017-11-28,99.0929
2017-11-27,99.4047
2017-11-24,98.9810
2017-11-23,98.7117
2017-11-22,98.4876
2017-11-21,98.4627
2017-11-20,98.8558
2017-11-17,99.0050
2017-11-16,98.8445
2017-11-15,99.3074
2017-11-14,98.8445
2017-11-13,98.2842
2017-11-10,98.1512
2017-11-09,98.0479
2017-11-08,97.7955
2017-11-07,97.6593
2017-11-06,97.8557
2017-11-03,98.2274
2017-11-02,98.0954
2017-11-01,97.7604
2017-10-31,98.0341
2017-10-30,97.9592
2017-10-27,98.1553
2017-10-26,98.7408
2017-10-25,98.8869
2017-10-24,98.7203
2017-10-23,98.5725
2017-10-20,98.9183
2017-10-19,98.9657
2017-10-18,98.5149
2017-10-17,98.4369
2017-10-16,98.4754
2017-10-13,98.6380
2017-10-12,99.0863
2017-10-11,98.8952
2017-10-10,98.6766
2017-10-09,98.6572
2017-10-06,98.6052
2017-10-05,98.6416
2017-10-04,98.7125
2017-10-03,98.7115
2017-10-02,98.6495
2017-09-29,98.8985
2017-09-28,98.7226
2017-09-27,98.4582
2017-09-26,98.5490
2017-09-25,98.8974
2017-09-22,99.2238
2017-09-21,99.0654
2017-09-20,99.3811
2017-09-19,99.2875
2017-09-18,99.0386
2017-09-15,98.9418
2017-09-14,98.8249
2017-09-13,99.2577
2017-09-12,98.9222
2017-09-11,99.2249
2017-09-08,99.2572
2017-09-07,99.0443
2017-09-06,99.0322
2017-09-05,98.9556
2017-09-04,98.9912
2017-09-01,99.2046
2017-08-31,99.0360
2017-08-30,99.3884
2017-08-29,100.0351
2017-08-28,99.4590
2017-08-25,99.0501
2017-08-24,99.0594
2017-08-23,99.0948
2017-08-22,98.9085
2017-08-21,98.8062
2017-08-18,98.7019
2017-08-17,98.4691
2017-08-16,98.7321
2017-08-15,98.8797
2017-08-14,99.0500
2017-08-11,98.8347
2017-08-10,98.5781
2017-08-09,98.6114
2017-08-08,99.1703
2017-08-07,99.1688
2017-08-04,99.3719
2017-08-03,99.3813
2017-08-02,99.1145
2017-08-01,98.9506
2017-07-31,98.5357
2017-07-28,98.6523
2017-07-27,98.3216
2017-07-26,98.2019
2017-07-25,98.3264
2017-07-24,98.0468
2017-07-21,98.1965
2017-07-20,97.3491
2017-07-19,97.4323
2017-07-18,97.5836
2017-07-17,97.1122
2017-07-14,97.0850
2017-07-13,97.1817
2017-07-12,97.5951
2017-07-11,97.4284
2017-07-10,97.3139
2017-07-07,97.4134
2017-07-06,97.2668
2017-07-05,96.9224
2017-07-04,97.0445
2017-07-03,97.0237
2017-06-30,97.1231
2017-06-29,97.2989
2017-06-28,97.2368
2017-06-27,96.7201
2017-06-26,96.2896
2017-06-23,96.2182
2017-06-22,96.2860
2017-06-21,96.1079
2017-06-20,96.1692
2017-06-19,96.1266
2017-06-16,96.0033
2017-06-15,95.9232
2017-06-14,96.0366
2017-06-13,96.1206
2017-06-12,96.2594
2017-06-09,95.9301
2017-06-08,96.0907
2017-06-07,96.0020
2017-06-06,96.2117
2017-06-05,96.2077
2017-06-02,96.2541
2017-06-01,96.1828
2017-05-31,96.1712
2017-05-30,96.0694
2017-05-29,96.1609
2017-05-26,96.1856
2017-05-25,96.2327
2017-05-24,96.2487
2017-05-23,96.3546
2017-05-22,96.4750
2017-05-19,96.1556
2017-05-18,95.9146
2017-05-17,95.8400
2017-05-16,95.6636
2017-05-15,95.1066
2017-05-12,94.7585
2017-05-11,94.6798
2017-05-10,94.7572
2017-05-09,94.8643
2017-05-08,94.9652
2017-05-05,95.1706
2017-05-04,94.9600
2017-05-03,94.7665
2017-05-02,94.8118
2017-05-01,-
2017-04-28,94.8696
2017-04-27,94.6046
2017-04-26,94.6910
2017-04-25,94.5816
2017-04-24,94.3394
2017-04-21,93.5026
2017-04-20,93.7158
2017-04-19,93.4867
2017-04-18,93.3642
2017-04-17,-
2017-04-14,-
2017-04-13,93.1465
2017-04-12,93.1003
2017-04-11,93.3017
2017-04-10,93.1251
2017-04-07,93.3334
2017-04-06,93.5390
2017-04-05,93.6321
2017-04-04,93.5034
2017-04-03,93.4052
2017-03-31,93.6185
2017-03-30,93.9171
2017-03-29,94.0212
2017-03-28,94.5192
2017-03-27,94.6492
2017-03-24,94.3915
2017-03-23,94.1913
2017-03-22,94.4195
2017-03-21,94.4126
2017-03-20,94.2635
2017-03-17,94.2505
2017-03-16,94.1920
2017-03-15,94.0018
2017-03-14,94.1375
2017-03-13,94.3018
2017-03-10,94.0798
2017-03-09,93.6341
2017-03-08,93.5864
2017-03-07,93.6017
2017-03-06,93.5972
2017-03-03,93.4819
2017-03-02,93.0015
2017-03-01,93.0294
2017-02-28,93.1668
2017-02-27,93.1439
2017-02-24,93.0913
2017-02-23,92.9943
2017-02-22,92.6932
2017-02-21,92.9335
2017-02-20,93.3604
2017-02-17,93.5486
2017-02-16,93.4250
2017-02-15,93.0184
2017-02-14,93.2631
2017-02-13,93.4038
2017-02-10,93.4505
2017-02-09,93.6201
2017-02-08,93.5100
2017-02-07,93.7860
2017-02-06,93.7357
2017-02-03,94.0238
2017-02-02,94.3345
2017-02-01,94.3011
2017-01-31,94.2215
2017-01-30,93.5972
2017-01-27,93.9905
2017-01-26,93.9769
2017-01-25,94.2070
2017-01-24,94.3516
2017-01-23,94.1703
2017-01-20,94.0063
2017-01-19,94.1152
2017-01-18,93.9385
2017-01-17,94.0522
2017-01-16,94.0022
2017-01-13,94.2743
2017-01-12,94.2345
2017-01-11,93.7392
2017-01-10,94.0581
2017-01-09,93.8312
2017-01-06,93.8631
2017-01-05,93.3553
2017-01-04,93.2114
2017-01-03,93.0952
2017-01-02,93.5545
2016-12-30,93.9784
2016-12-29,93.5490
2016-12-28,93.3274
2016-12-27,93.5688
2016-12-26,-
2016-12-23,93.5108
2016-12-22,93.4015
2016-12-21,93.1518
2016-12-20,92.9656
2016-12-19,93.2470
2016-12-16,93.3761
2016-12-15,93.1667
2016-12-14,93.9888
2016-12-13,93.7323
2016-12-12,93.8247
2016-12-09,93.5851
2016-12-08,94.6364
2016-12-07,94.4741
2016-12-06,94.4661
2016-12-05,94.3664
2016-12-02,94.0581
2016-12-01,93.9387
2016-11-30,94.0641
2016-11-29,93.7251
2016-11-28,93.8467
2016-11-25,93.8934
2016-11-24,93.6587
2016-11-23,93.8340
2016-11-22,93.8298
2016-11-21,93.9949
2016-11-18,94.0124
2016-11-17,94.3451
2016-11-16,94.3310
2016-11-15,94.5245
2016-11-14,94.4117
2016-11-11,94.8140
2016-11-10,94.9196
2016-11-09,95.4721
2016-11-08,95.4859
2016-11-07,95.5961
2016-11-04,95.5595
2016-11-03,95.4300
2016-11-02,95.7586
2016-11-01,95.5268
2016-10-31,95.2253
2016-10-28,95.1555
2016-10-27,94.9884
2016-10-26,94.9012
2016-10-25,94.5608
2016-10-24,94.6378
2016-10-21,94.6149
2016-10-20,94.9721
2016-10-19,94.8783
2016-10-18,95.0398
2016-10-17,95.2454
2016-10-14,95.1089
2016-10-13,95.3817
2016-10-12,95.1607
2016-10-11,95.4209
2016-10-10,95.6882
2016-10-07,95.5112
2016-10-06,95.4470
2016-10-05,95.5330
2016-10-04,95.1338
2016-10-03,95.3385
2016-09-30,94.8816
2016-09-29,95.1174
2016-09-28,95.1004
2016-09-27,95.0719
2016-09-26,95.4198
2016-09-23,95.0340
2016-09-22,95.0531
2016-09-21,94.7326
2016-09-20,95.1070
2016-09-19,94.8831
2016-09-16,95.2068
2016-09-15,95.3742
2016-09-14,95.2510
2016-09-13,95.2884
2016-09-12,95.1324
2016-09-09,95.2727
2016-09-08,95.1258
2016-09-07,94.7850
2016-09-06,94.6371
2016-09-05,94.6698
2016-09-02,95.1059
2016-09-01,94.8545
2016-08-31,94.8087
2016-08-30,94.9252
2016-08-29,94.9828
2016-08-26,95.3374
2016-08-25,95.3051
2016-08-24,95.1156
2016-08-23,95.5012
2016-08-22,95.4605
2016-08-19,95.5436
2016-08-18,95.3204
2016-08-17,95.2625
2016-08-16,95.1415
2016-08-15,94.7477
2016-08-12,94.6454
2016-08-11,94.5285
2016-08-10,94.6108
2016-08-09,94.3186
2016-08-08,94.3502
2016-08-05,94.4831
2016-08-04,94.4026
2016-08-03,94.5991
2016-08-02,94.6348
2016-08-01,94.6559
2016-07-29,94.5950
2016-07-28,94.5927
2016-07-27,94.2471
2016-07-26,94.1221
2016-07-25,94.1303
2016-07-22,94.3123
2016-07-21,94.2783
2016-07-20,94.3196
2016-07-19,94.5081
2016-07-18,94.4835
2016-07-15,94.7720
2016-07-14,94.9139
2016-07-13,94.5473
2016-07-12,94.7557
2016-07-11,94.6402
2016-07-08,94.6860
2016-07-07,94.7144
2016-07-06,94.7936
2016-07-05,95.0533
2016-07-04,94.7827
2016-07-01,94.6802
2016-06-30,94.4545
2016-06-29,94.3812
2016-06-28,94.4151
2016-06-27,94.1448
2016-06-24,94.0253
2016-06-23,94.4983
2016-06-22,94.0556
2016-06-21,94.2500
2016-06-20,94.4534
2016-06-17,94.4790
2016-06-16,94.1884
2016-06-15,94.4128
