,Date,Open,High,Low,Close,Adj Close,Volume
613,2018-08-22,66.080002,68.150002,65.980003,67.860001,67.860001,581899.0
614,2018-08-23,68.07,68.120003,67.32,67.830002,67.830002,450690.0
615,2018-08-24,67.900002,69.309998,67.779999,68.720001,68.720001,517796.0
616,2018-08-27,68.57,68.970001,68.339996,68.870003,68.870003,332612.0
617,2018-08-28,68.93,69.199997,68.209999,68.529999,68.529999,426833.0
618,2018-08-29,68.540001,69.760002,68.370003,69.510002,69.510002,497095.0
619,2018-08-30,69.709999,70.5,69.550003,70.25,70.25,445584.0
620,2018-08-31,70.059998,70.360001,69.639999,69.800003,69.800003,419739.0
621,2018-09-04,70.120003,71.400002,69.080002,69.870003,69.870003,785981.0
622,2018-09-05,69.43,69.589996,68.559998,68.720001,68.720001,542104.0
623,2018-09-06,68.639999,69.019997,67.0,67.769997,67.769997,633824.0
624,2018-09-07,67.879997,68.080002,66.860001,67.75,67.75,530895.0
625,2018-09-10,67.82,68.519997,67.330002,67.540001,67.540001,571174.0
626,2018-09-11,67.529999,70.010002,67.480003,69.25,69.25,676869.0
627,2018-09-12,69.889999,71.260002,69.5,70.370003,70.370003,800543.0
628,2018-09-13,70.239998,70.279999,68.349998,68.589996,68.589996,684937.0
629,2018-09-14,68.790001,69.910004,67.940002,68.989998,68.989998,611075.0
630,2018-09-17,68.93,69.720001,68.529999,68.910004,68.910004,422294.0
631,2018-09-18,68.800003,70.419998,68.529999,69.849998,69.849998,234202.0
632,2018-09-19,69.709999,71.5,69.650002,71.120003,71.120003,125208.0
633,2018-09-20,71.389999,71.809998,70.730003,70.800003,70.800003,607520.0
634,2018-09-21,70.199997,71.800003,69.980003,70.779999,70.779999,855943.0
635,2018-09-24,71.139999,72.739998,71.139999,72.080002,72.080002,576894.0
636,2018-09-25,72.25,72.779999,71.889999,72.279999,72.279999,551280.0
637,2018-09-26,72.089996,72.379997,71.470001,71.57,71.57,464463.0
638,2018-09-27,72.010002,72.599998,71.709999,72.120003,72.120003,454549.0
639,2018-09-28,72.18,73.730003,71.879997,73.25,73.25,544047.0
640,2018-10-01,73.290001,75.769997,72.949997,75.300003,75.300003,601451.0
641,2018-10-02,75.419998,75.910004,74.93,75.230003,75.230003,463615.0
642,2018-10-03,75.120003,76.900002,74.300003,76.410004,76.410004,698817.0
643,2018-10-04,76.18,76.470001,73.879997,74.330002,74.330002,687949.0
644,2018-10-05,74.669998,75.220001,73.839996,74.339996,74.339996,613218.0
645,2018-10-08,74.400002,74.580002,73.07,74.290001,74.290001,554938.0
646,2018-10-09,74.209999,75.279999,74.0,74.959999,74.959999,623537.0
647,2018-10-10,74.660004,75.080002,72.379997,73.169998,73.169998,652737.0
648,2018-10-11,72.68,72.760002,70.510002,70.970001,70.970001,783962.0
649,2018-10-12,70.989998,72.010002,70.639999,71.339996,71.339996,626668.0
650,2018-10-15,71.849998,72.699997,70.849998,71.779999,71.779999,568610.0
