,Date,Open,High,Low,Close,Adj Close,Volume
664,2018-10-31,0.77,0.78,0.74,0.76,0.76,34400
665,2018-11-01,0.76,0.8,0.65,0.75,0.75,74000
666,2018-11-02,0.78,0.84,0.78,0.79,0.79,39800
667,2018-11-05,0.79,0.8,0.76,0.78,0.78,56400
668,2018-11-06,0.8,0.8,0.76,0.8,0.8,35700
669,2018-11-07,0.76,0.8,0.74,0.79,0.79,42700
670,2018-11-08,0.74,0.8,0.74,0.79,0.79,10500
671,2018-11-09,0.76,0.8,0.75,0.75,0.75,49600
672,2018-11-12,0.79,0.79,0.72,0.75,0.75,32900
673,2018-11-13,0.76,0.78,0.76,0.78,0.78,42400
674,2018-11-14,0.79,0.79,0.74,0.74,0.74,103900
675,2018-11-15,0.74,0.76,0.71,0.74,0.74,32400
676,2018-11-16,0.71,0.84,0.71,0.82,0.82,61200
677,2018-11-19,0.82,0.83,0.75,0.8,0.8,40000
678,2018-11-20,0.81,0.81,0.75,0.75,0.75,8900
679,2018-11-21,0.79,0.8,0.78,0.8,0.8,29500
681,2018-11-26,0.8,0.83,0.74,0.79,0.79,50900
682,2018-11-27,0.82,0.84,0.77,0.83,0.83,80900
683,2018-11-28,0.85,0.85,0.8,0.81,0.81,46200
684,2018-11-29,0.8,0.8,0.78,0.8,0.8,58600
685,2018-11-30,0.78,0.8,0.78,0.78,0.78,35400
686,2018-12-03,0.78,0.83,0.78,0.8,0.8,33900
687,2018-12-04,0.78,0.8,0.71,0.76,0.76,88300
688,2018-12-06,0.8,0.83,0.71,0.76,0.76,70300
689,2018-12-07,0.73,0.8,0.67,0.71,0.71,27800
690,2018-12-10,0.69,0.75,0.68,0.72,0.72,56200
691,2018-12-11,0.68,0.74,0.68,0.69,0.69,118800
692,2018-12-12,0.7,0.7,0.68,0.69,0.69,74400
693,2018-12-13,0.68,0.7,0.64,0.67,0.67,60900
694,2018-12-14,0.65,0.73,0.65,0.69,0.69,76500
695,2018-12-17,0.66,0.7,0.62,0.64,0.64,49200
696,2018-12-18,0.65,0.7,0.63,0.64,0.64,140500
697,2018-12-19,0.64,0.65,0.61,0.63,0.63,52000
698,2018-12-20,0.62,0.63,0.5,0.57,0.57,58400
699,2018-12-21,0.54,0.6,0.54,0.57,0.57,50100
701,2018-12-26,0.7,0.7,0.56,0.65,0.65,165100
702,2018-12-27,0.65,0.69,0.62,0.62,0.62,86500
703,2018-12-28,0.62,0.7,0.6,0.69,0.69,86700
704,2018-12-31,0.64,0.8,0.64,0.75,0.75,218800
705,2019-01-02,0.76,0.8,0.7,0.78,0.78,53700
706,2019-01-03,0.74,0.79,0.67,0.77,0.77,40000
707,2019-01-04,0.78,0.82,0.72,0.8,0.8,71100
708,2019-01-07,0.79,0.83,0.79,0.83,0.83,63800
709,2019-01-08,0.83,0.83,0.77,0.81,0.81,39200
710,2019-01-09,0.83,0.86,0.79,0.83,0.83,107900
711,2019-01-10,0.81,0.83,0.78,0.81,0.81,30900
